Commercial,Commercial Demand
691 PARSONS RD,309 E FRONT ST
870 E FRONT ST,3811 MARKETPLACE CR
1133 W SOUTH AIRPORT RD,104 MACKEY DR
807 LAKE AVE,125 PARK ST
697 HANNAH AVE,708 RANDOLPH ST
1173 HASTINGS ST,3643 W FRONT ST
712 S GARFIELD AVE,627 W FRONT ST
877 ROBINWOOD CT,127 S MADISON ST
842 AVENUE E,800 COTTAGEVIEW DR
1022 E FRONT ST,13896 S WEST BAY SHORE DR
3375 A WRIGHT DR,1719 S GARFIELD AVE
741 E EIGHTH ST,1114 S UNION ST
134 LAKE AVE,1329 S DIVISION ST
125 E FRONT ST,2400 CASS RD
810 COTTAGEVIEW DR,439 E EIGHTH ST
346 E FRONT ST,126 E FRONT ST
115 E FOURTEENTH ST,851 FITZHUGH DR
3263 RACQUET CLUB DR,540 W FRONT ST
535 S GARFIELD AVE,1400 BRIGADOON CT
511 E FRONT ST,601 RANDOLPH ST
2819 CASS RD,720 E FRONT ST
800 COTTAGEVIEW DR,924 HASTINGS ST
0 LAKE AVE,600 COTTAGEVIEW DR
118 HALL ST,732 HANNAH AVE
2801 AERO PARK DR,3233 CASS RD
225 E SIXTEENTH ST,1301 S DIVISION ST
630 S GARFIELD AVE,461 MUNSON AVE
625 BAY HILL DR,733 E EIGHTH ST
925 HASTINGS ST,151 E FRONT ST
1502 BARLOW ST,1126 E EIGHTH ST
537 BAY ST HOUSE,525 COTTAGE ARBOR LN
1103 S UNION ST,1001 BAY ST STE
6726 CENTER RD,1025 W SOUTH AIRPORT RD
1445 WOODMERE AVE,315 E FRONT ST
1516 BARLOW ST,1535 S DIVISION ST
1170 AIRPORT ACCESS RD,3962 N THREE MILE RD
880 PARSONS RD,225 E FOURTEENTH ST
2282 CASS RD,209 E FRONT ST
1045 S GARFIELD AVE,919 SEVENTH ST
898 INCOCHEE WOODS DR,428 E FRONT ST
1820 OAK HOLLOW DR,700 COTTAGEVIEW DR STE
1112 E FRONT ST,1330 AIRPORT ACCESS RD
